name,price,url
Pay Monthly: Box of the Month,26.0,https://www.chocolate.co.uk/collections/all?page=3/products/pay-monthly-box-of-the-month
Peppermint Malt Balls,11.700000000000001,https://www.chocolate.co.uk/collections/all?page=3/products/peppermint-malt-balls
Peppermint Swirl,6.5,https://www.chocolate.co.uk/collections/all?page=3/products/peppermint-swirl-chocolate-bar
Pistachio & Cranberry,6.5,https://www.chocolate.co.uk/collections/all?page=3/products/pistachio-cranberry-chocolate-bar
Praline Quail Eggs,12.35,https://www.chocolate.co.uk/collections/all?page=3/products/praline-quail-eggs
Pretzel Caramel,6.5,https://www.chocolate.co.uk/collections/all?page=3/products/pretzel-caramel-chocolate-bar
Pretzel Caramel Easter Egg & Truffles,35.75,https://www.chocolate.co.uk/collections/all?page=3/products/copy-of-flat-white-coffee-easter-egg-truffles
Raspberry Pavlova White Chocolate Easter Egg,35.75,https://www.chocolate.co.uk/collections/all?page=3/products/raspberry-pavlova-white-chocolate-easter-egg
Roasted Almonds,11.635,https://www.chocolate.co.uk/collections/all?page=3/products/cocoa-dusted-almonds
Rose & Violet Creams,13.0,https://www.chocolate.co.uk/collections/all?page=3/products/rose-violet-creams
Salt Caramel Malt Balls,11.700000000000001,https://www.chocolate.co.uk/collections/all?page=3/products/salt-caramel-malt-balls
Salt Caramelised Hazelnuts,11.635,https://www.chocolate.co.uk/collections/all?page=3/products/salt-caramelised-hazelnuts
Salted Caramel,6.5,https://www.chocolate.co.uk/collections/all?page=3/products/blonde-chocolate-sea-salt
Salted Caramel Florentines,14.950000000000001,https://www.chocolate.co.uk/collections/all?page=3/products/salted-caramel-florentines
Salted Caramel Quail Eggs,12.35,https://www.chocolate.co.uk/collections/all?page=3/products/salted-caramel-quail-eggs
Salted Caramels Blonde Chocolate,25.935,https://www.chocolate.co.uk/collections/all?page=3/products/salted-caramels-blonde-chocolate
Salted Caramels Dark Chocolate,25.935,https://www.chocolate.co.uk/collections/all?page=4/products/salt-caramels-dark-chocolate
Salted Caramels Milk Chocolate,25.935,https://www.chocolate.co.uk/collections/all?page=4/products/salt-caramels-milk-chocolate
Tea & Biscuit,6.5,https://www.chocolate.co.uk/collections/all?page=4/products/tea-biscuit-chocolate-bar
Tea & Biscuit Blonde Chocolate Easter Egg,35.75,https://www.chocolate.co.uk/collections/all?page=4/products/pre-order-tea-biscuit-easter-egg
Velvet White,6.5,https://www.chocolate.co.uk/collections/all?page=4/products/velvet-white-chocolate-bar
